"0x78d90","Name value"
"None","0x24"
"Ephraim Lord","0x28"
"Eirika Lord","0x0"
"Ephraim Master Lord","0xdd"
"Eirika Master Lord","0x16"
"Cavalier","0xe1"
"Cavalier (F)","0x1f"
"Paladin","0x28"
"Paladin (F)","0x0"
"Armour Knight","0xda"
"Armour Knight (F)","0x13"
"General","0xe1"
"General (F)","0x0"
"Thief","0x4d"
"Manakete","0x26"
"Mercenary","0xe1"
"Mercenary (F)","0x2e"
"Hero","0x2a"
"Hero (F)","0x9a"
"Myrmidon","0x8"
"Myrmidon (F)","0x60"
"Swordmaster","0x28"
"Swordmaster (F)","0x0"
"Assassin","0xdd"
"Assassin (F)","0xc"
"Archer","0xe1"
"Archer (F)","0x5f"
"Sniper","0x28"
"Sniper (F)","0x0"
"Ranger","0xda"
"Ranger (F)","0x9"
"Wyvern Rider","0xe1"
"Wyvern Rider (F)","0x0"
"Wyvern Lord","0x4d"
"Wyvern Lord (F)","0x1c"
"Wyvern Knight","0xe1"
"Wyvern Knight (F)","0xf6"
"Mage","0x2a"
"Mage (F)","0x9a"
"Sage","0x8"
"Sage (F)","0x0"
"Mage Knight","0x4d"
"Mage Knight (F)","0x18"
"Bishop","0xe1"
"Bishop (F)","0x5a"
"Shaman","0x2a"
"Shaman (F)","0x9a"
"Druid","0x8"
"Druid (F)","0x20"
"Summoner","0x78"
"Summoner (F)","0x9"
"Rogue","0x38"
"Gorgon Egg","0x72"
"Great Knight","0x28"
"Great Knight (F)","0x0"
"Recruit (2)","0xd9"
"Journeyman (3)","0x10"
"Pupil (3)","0xe1"
"Recruit (3)","0x80"
"Manakete","0x0"
"Manakete (F)","0x1"
"Journeyman (1)","0x49"
"Pupil (1)","0x40"
"Fighter","0x18"
"Warrior","0x0"
"Brigand","0x68"
"Pirate","0x87"
"Berserker","0x46"
"Monk","0xd8"
"Priest","0x8d"
"Bard","0x7"
"Recruit (1)","0x8"
"Pegasus Knight","0xd4"
"Falcon Knight","0x8f"
"Cleric","0x7"
"Troubadour","0x8"
"Valkyrie","0xd4"
"Dancer","0x8f"
"Soldier","0x7"
"Necromancer","0x8"
"Fleet","0xd4"
"Phantom","0x8f"
"Revenant","0x7"
"Entombed","0x8"
"Bonewalker","0xd4"
"Bonewalker (Bow)","0x8f"
"Wight","0x7"
"Wight (Bow)","0x8"
"Bael","0xec"
"Elder Bael","0x8f"
"Cyclops","0x7"
"Mauthe Doog","0x8"
"Gwyllgi","0xec"
"Tarvos","0x8f"
"Maelduin","0x7"
"Mogall","0x8"
"Arch Mogall","0xec"
"Gorgon","0x8f"
"Gorgon Egg","0x7"
"Gargoyle","0x8"
"Deathgoyle","0xec"
"Dracozombie","0x8f"
"Demon King","0x7"
"Archer on Ballista","0x8"
"Archer on Iron Ballista","0xec"
"Archer on Killer Ballista","0x8f"
"Ballista","0x7"
"Iron Ballista","0x8"
"Killer Ballista","0xec"
"Civilian","0x8f"
"Civilian (F)","0x7"
"Civilian","0x8"
"Civilian (F)","0xec"
"Civilian","0x8f"
"Civilian (F)","0x7"
"Peer","0x8"
"Queen","0xec"
"Prince","0x8f"
"Queen","0x7"
"(empty)","0x8"
"Fallen Prince","0xec"
"Tent","0x8f"
"Pontifex","0x7"
"Dead Peer","0x8"
"Cyclops","0xec"
"Elder Bael","0x8f"
"Journeyman (2)","0x7"
"Pupil (2)","0x8"
"0x80","0xec"
"0x81","0x8f"
"0x82","0x7"
"0x83","0x8"
"0x84","0xec"
"0x85","0x8f"
"0x86","0x7"
"0x87","0x8"
"0x88","0xec"
"0x89","0x8f"
"0x8a","0x7"
"0x8b","0x8"
"0x8c","0xec"
"0x8d","0x8f"
"0x8e","0x7"
"0x8f","0x8"
"0x90","0xec"
"0x91","0x8f"
"0x92","0x7"
"0x93","0x8"
"0x94","0xec"
"0x95","0x8f"
"0x96","0x7"
"0x97","0x8"
"0x98","0xec"
"0x99","0x8f"
"0x9a","0x7"
"0x9b","0x8"
"0x9c","0xec"
"0x9d","0x8f"
"0x9e","0x7"
"0x9f","0x8"
"0xa0","0xec"
"0xa1","0x8f"
"0xa2","0x7"
"0xa3","0x8"
"0xa4","0xec"
"0xa5","0x8f"
"0xa6","0x7"
"0xa7","0x8"
"0xa8","0xec"
"0xa9","0x8f"
"0xaa","0x7"
"0xab","0x8"
"0xac","0xec"
"0xad","0x8f"
"0xae","0x7"
"0xaf","0x8"
"0xb0","0xec"
"0xb1","0x8f"
"0xb2","0x7"
"0xb3","0x8"
"0xb4","0xec"
"0xb5","0x8f"
"0xb6","0x7"
"0xb7","0x8"
"0xb8","0xec"
"0xb9","0x8f"
"0xba","0x7"
"0xbb","0x8"
"0xbc","0xec"
"0xbd","0x8f"
"0xbe","0x7"
"0xbf","0x8"
"0xc0","0xec"
"0xc1","0x8f"
"0xc2","0x7"
"0xc3","0x8"
"0xc4","0xec"
"0xc5","0x8f"
"0xc6","0x7"
"0xc7","0x8"
"0xc8","0xec"
"0xc9","0x8f"
"0xca","0x7"
"0xcb","0x8"
"0xcc","0xec"
"0xcd","0x8f"
"0xce","0x7"
"0xcf","0x8"
"0xd0","0xec"
"0xd1","0x8f"
"0xd2","0x7"
"0xd3","0x8"
"0xd4","0xec"
"0xd5","0x8f"
"0xd6","0x7"
"0xd7","0x8"
"0xd8","0xec"
"0xd9","0x8f"
"0xda","0x7"
"0xdb","0x8"
"0xdc","0xec"
"0xdd","0x8f"
"0xde","0x7"
"0xdf","0x8"
"0xe0","0xec"
"0xe1","0x8f"
"0xe2","0x7"
"0xe3","0x8"
"0xe4","0xec"
"0xe5","0x8f"
"0xe6","0x7"
"0xe7","0x8"
"0xe8","0xec"
"0xe9","0x8f"
"0xea","0x7"
"0xeb","0x8"
"0xec","0xec"
"0xed","0x8f"
"0xee","0x7"
"0xef","0x8"
"0xf0","0xec"
"0xf1","0x8f"
"0xf2","0x7"
"0xf3","0x8"
"0xf4","0xec"
"0xf5","0x8f"
"0xf6","0x7"
"0xf7","0x8"
"0xf8","0xec"
"0xf9","0x8f"
"0xfa","0x7"
"0xfb","0x8"
"0xfc","0xec"
"0xfd","0x8f"
"0xfe","0x7"
