INLINE SpellAssociationTable,Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,##UNKNOWN##,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0x0,IronSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1,IronBlade,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2,SteelSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x3,SilverSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x4,SlimSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5,PoisonSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6,BraveSword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7,LightBrand,2,0x1f,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x8,0xbc,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9,Armourslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa,Rapier,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb,ManiKatti,2,0x11,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0xc,0xc0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xd,KillingEdge,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe,Lancereaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf,Longsword,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x10,IronLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x11,SteelLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x12,SilverLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x13,SlimLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x14,PoisonLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x15,BraveLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x16,Javelin,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x17,Horseslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x18,KillerLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x19,Axereaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,HeavySpear,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,ShortSpear,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,0xc3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,IronAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,SteelAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,SilverAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x20,PoisonAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x21,BraveAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x22,HandAxe,2,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x23,0xbd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x24,Hammer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x25,KillerAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x26,Swordslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x27,Swordreaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x28,DevilAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x29,Halberd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,0xc4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,0xc5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,0xc6,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2d,IronBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,SteelBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,SilverBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x30,PoisonBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x31,KillerBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x32,BraveBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x33,ShortBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x34,Longbow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x35,0xc7,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x36,Ballista,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x37,IronBallista,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x38,KillerBallista,2,0x10,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x39,Fire,2,0x16,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x3a,Thunder,2,0x19,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x3b,Fimbulvetr,2,0x1b,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x3c,Elfire,2,0x17,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x3d,Fenrir,2,0x25,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x3e,Bolting,2,0x1a,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x3f,0xbf,2,0x18,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x40,Lightning,2,0x1f,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x41,Divine,2,0x22,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x42,Purge,2,0x20,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x43,Flux,2,0x1d,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x44,Nosferatu,2,0x1e,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x45,Eclipse,2,0x24,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x46,Heal,2,0x26,0x0,0x0,0x89a4a54,0x1,0x0,0x0,0x0
0x47,Mend,2,0x27,0x0,0x0,0x89a4abc,0x1,0x0,0x0,0x0
0x48,Recover,2,0x28,0x0,0x0,0x89a4b24,0x1,0x0,0x0,0x0
0x49,Physic,2,0x29,0x0,0x0,0x89a4b8c,0x1,0x0,0x0,0x0
0x4a,Fortify,1,0x2a,0x0,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x4b,Warp,2,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x4c,Rescue,2,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x4d,Restore,2,0x2c,0x0,0x0,0x89a4f44,0x0,0x0,0x0,0x0
0x4e,Silence,2,0x2d,0x0,0x0,0x89a4ea4,0x0,0x0,0x0,0x0
0x4f,Sleep,2,0x2e,0x0,0x0,0x89a4d64,0x0,0x0,0x0,0x0
0x50,TorchStaff,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x51,Hammerne,2,0x2f,0x0,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x52,Berserk,2,0x30,0x0,0x0,0x89a4cc4,0x0,0x0,0x0,0x0
0x53,Unlock,1,0xfe,0xff,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
0x54,Barrier,2,0x31,0x0,0x0,0x89a518c,0x0,0x0,0x0,0x0
0x55,HeroCrest,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x56,KnightCrest,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x57,OrionBolt,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x58,ElysianWhip,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x59,GuidingRing,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5a,MasterProof,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5b,HeavenSeal,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5c,0xc1,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5d,ConquerorsProof,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5e,MoonBracelet,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x5f,SunBracelet,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x60,Vulnerary,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x61,Vulnerary_2,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x62,Elixir,1,0xfe,0xff,0x0,0x89a49a4,0x1,0x1,0x0,0x0
0x63,PureWater,1,0xfe,0xff,0x0,0x89a495c,0x0,0x1,0x0,0x0
0x64,Torch,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x65,Antidote,1,0xfe,0xff,0x0,0x89a4914,0x0,0x1,0x0,0x0
0x66,SteelBlade,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x67,SilverBlade,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x68,Wyrmslayer,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x69,Runesword,2,0x1e,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6a,Spear,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6b,0xc8,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6c,Tomahawk,2,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x6d,Excalibur,2,0x35,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x6e,Aircalibur,2,0x1c,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x6f,Shine,2,0x33,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x70,Aura,2,0x37,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x71,0xc9,2,0x38,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x72,Luna,2,0x34,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x73,0xcb,2,0x36,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x74,0xbe,2,0x21,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x75,WretchedAir,2,0x47,0x0,0x0,0x0,0x1,0x0,0x2,0x0
0x76,0xca,2,0x39,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x77,FillasMight,2,0x3a,0x0,0x0,0x0,0x0,0x0,0x2,0x0
0x78,NinissGrace,2,0x3b,0x0,0x0,0x0,0x0,0x0,0x4,0x0
0x79,ThorsIre,2,0x3c,0x0,0x0,0x0,0x0,0x0,0x4,0x0
0x7a,SetsLitany,2,0x3d,0x0,0x0,0x0,0x0,0x0,0x3,0x0
0x7b,ShadowKiller,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7c,BrightLance,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7d,FiendCleaver,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7e,BeaconBow,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x7f,WindSword,2,0x35,0x0,0x0,0x0,0x1,0x0,0x4,0x0
0x80,DragonAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x81,DemonShard,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x82,RottenClaw,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x83,FetidClaw,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x84,PoisonClaw,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x85,LongPoisonClaw,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x86,SharpClaw,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x87,FireFang,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x88,HellFang,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x89,EvilEye,2,0x43,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8a,BloodyEye,2,0x42,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8b,Stone,2,0x3e,0x0,0x0,0x89a4e04,0x1,0x0,0x0,0x0
0x8c,DemonSurge,2,0x45,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8d,Ivaldi,2,0x3f,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x8e,Gleipnir,2,0x41,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x8f,Shadowshot,2,0x44,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x90,Naglfar,2,0x46,0x0,0x0,0x0,0x1,0x0,0x1,0x0
0x91,Shamshir,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x92,Sieglind,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x93,Reginleif,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x94,DragonSpear,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x95,Vidofnir,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x96,Audomra,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x97,Siegmund,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x98,Garm,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x99,Nidhogg,2,0x2,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,Hatchet,2,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,BattleAxe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,Latona,1,0x2b,0x0,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x9d,Nightmare,2,0xff,0xff,0x0,0x89a481c,0x0,0x0,0x0,0x0
0x9e,DemonLight,2,0x40,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,Ravager,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa0,HolyDragonStone,2,0x13,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0xa1,Forblaze,2,0x12,0x0,0x0,0x0,0x1,0x0,0x2,0x0
