INLINE PersonalDataTable,First Like,Second Like,First Disike,Second Dislike,Age,Height
0x0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Eirika,EirikaLike1ID,EirikaLike2ID,EirikaDislike1ID,EirikaDislike2ID,EirikaAgeID,EirikaHeightID
Seth,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gilliam,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Franz,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Moulder,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Vanessa,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ross,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Neimi,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Colm,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Garcia,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Innes,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lute,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Natasha,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cormag,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ephraim,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Forde,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Kyle,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Amelia,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Artur,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gerik,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Tethys,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Marisa,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Saleh,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ewan,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
L'Arachel,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Dozla,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Rennac,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Duessel,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Myrrh,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Knoll,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Joshua,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Syrene,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Tana,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Glen,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Selena,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Riev,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Caellach,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Fado,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ismaire,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hayden,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
FakeEirika,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Knoll's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ewan's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon (Ch 17),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Morva (Ch 20),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson (Ch 5x),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter (Ch 15),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Selena (Ch 10B & 13B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter (Prologue),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Breguet (Ch 1),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Bone (Ch 2),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Bazba (Ch 3),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Entombed (Ch 4),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Saar (Ch 5),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Novala (Ch 6),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Murray (Ch 7),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Tirado (Ch 8),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Binks (Ch 9A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pablo (Ch 10A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Maelduin (Ch 12A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Aias (Ch 13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Carlyle (Ch 14A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Caellach (Ch 15),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pablo (Ch 13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gorgon (Ch 18),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Riev (Ch 19 & 20),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gheb (Ch 9B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Beran (Ch 10B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cyclops (Ch 12B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wight (Ch 11A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Deathgoyle (Ch 11B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Entombed (Monster Boss),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hunter (Ch 16),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Brigand,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
O'Neill (Prologue),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Glen (Cutscene),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Zonta (Ch 5x),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Vigarde (Ch 14B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon (Ch Final),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson (Ch 16),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier (Special),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 1 (Normal),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 4,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 5,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 6,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 7,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 8,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 10 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 11 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 12 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 13,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 1 (Main),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cutthroat,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 2 (Cutscene and C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 3 (C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 4 (C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Sage),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Swords),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Axes),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Mercenary (C9A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Mercenary (C10A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Merc Remnant (C13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Monster,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Demon King,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Frelian,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Frelian,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Fado (Renais),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hayden (Frelia),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Mansel (Rausten),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Klimt (Carcino),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Dara (Caer Pelyn),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ismaire (Jehanna),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pegasus Messenger,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Rausten Knight,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Rausten Knight,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
(Untested Beyond this point),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
-0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
